age,educational-num,race,gender,hours-per-week,income,gender_encoded,income_encoded,race_encoded,marital-status_Divorced,marital-status_Married-AF-spouse,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed
44,11,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
36,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
29,7,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
20,10,White,Male,32,<=50K,1,0,1,False,False,False,False,True,False,False
28,11,White,Female,36,>50K,0,1,1,False,False,True,False,False,False,False
39,4,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
54,10,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
52,7,Black,Female,18,<=50K,0,0,0,False,False,False,False,False,True,False
56,9,White,Female,50,<=50K,0,0,1,False,False,False,False,False,False,True
18,10,White,Male,20,<=50K,1,0,1,False,False,False,False,True,False,False
39,9,Black,Male,40,<=50K,1,0,0,True,False,False,False,False,False,False
21,10,White,Female,24,<=50K,0,0,1,False,False,False,False,True,False,False
22,9,White,Male,60,>50K,1,1,1,False,False,False,False,True,False,False
38,5,White,Male,54,<=50K,1,0,1,False,False,False,True,False,False,False
21,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
63,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
34,13,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
42,9,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
33,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
30,13,White,Female,50,<=50K,0,0,1,False,False,False,False,True,False,False
39,10,White,Male,40,<=50K,1,0,1,True,False,False,False,False,False,False
26,14,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
33,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
47,9,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
41,13,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
41,12,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
19,10,White,Male,20,<=50K,1,0,1,False,False,False,False,True,False,False
46,9,White,Male,40,<=50K,1,0,1,False,False,False,False,False,True,False
43,9,White,Male,48,<=50K,1,0,1,False,False,True,False,False,False,False
55,10,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
46,11,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
30,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
21,10,White,Female,40,<=50K,0,0,1,False,False,False,False,False,True,False
46,10,Other,Male,40,<=50K,1,0,4,False,False,True,False,False,False,False
17,6,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
41,9,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
69,9,White,Male,30,<=50K,1,0,1,False,False,True,False,False,False,False
50,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
20,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
45,10,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
23,13,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
24,10,White,Male,40,<=50K,1,0,1,False,False,False,False,False,True,False
44,9,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
31,10,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
43,9,White,Female,44,<=50K,0,0,1,False,False,False,False,False,True,False
20,7,White,Female,10,<=50K,0,0,1,False,False,False,False,True,False,False
55,9,White,Male,56,>50K,1,1,1,False,False,True,False,False,False,False
24,10,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
41,14,White,Female,10,>50K,0,1,1,False,False,True,False,False,False,False
59,13,White,Female,25,<=50K,0,0,1,False,False,False,False,True,False,False
49,4,Black,Male,20,<=50K,1,0,0,False,False,False,False,True,False,False
33,14,White,Female,10,>50K,0,1,1,False,False,True,False,False,False,False
59,13,White,Male,40,<=50K,1,0,1,True,False,False,False,False,False,False
34,14,Amer-Indian-Eskimo,Male,40,<=50K,1,0,3,False,False,False,False,True,False,False
20,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
25,13,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
49,6,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
59,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
20,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
51,10,White,Female,18,<=50K,0,0,1,False,False,True,False,False,False,False
33,10,Black,Female,35,<=50K,0,0,0,False,False,False,False,True,False,False
22,10,Black,Male,39,<=50K,1,0,0,False,False,False,False,True,False,False
58,5,White,Female,40,<=50K,0,0,1,False,False,False,False,False,False,True
52,9,White,Female,28,<=50K,0,0,1,False,False,False,False,False,False,True
36,6,White,Female,40,<=50K,0,0,1,False,False,False,False,False,True,False
41,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
28,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
19,10,Black,Male,16,<=50K,1,0,0,False,False,False,False,True,False,False
18,9,White,Female,28,<=50K,0,0,1,False,False,False,False,True,False,False
18,9,White,Female,48,<=50K,0,0,1,False,False,False,False,True,False,False
28,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
29,11,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
20,9,White,Female,20,<=50K,0,0,1,False,False,False,False,True,False,False
40,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
26,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
46,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
23,7,White,Female,24,<=50K,0,0,1,False,False,False,False,True,False,False
44,9,White,Female,40,<=50K,0,0,1,False,False,False,True,False,False,False
43,13,White,Female,40,>50K,0,1,1,True,False,False,False,False,False,False
31,13,White,Female,60,<=50K,0,0,1,True,False,False,False,False,False,False
18,10,White,Female,25,<=50K,0,0,1,False,False,False,False,True,False,False
19,10,White,Male,30,<=50K,1,0,1,False,False,False,False,True,False,False
41,10,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
41,9,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
69,9,White,Female,25,<=50K,0,0,1,True,False,False,False,False,False,False
48,16,White,Female,40,>50K,0,1,1,False,False,True,False,False,False,False
28,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
27,9,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
41,14,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
41,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
24,9,Black,Female,40,<=50K,0,0,0,False,False,False,False,True,False,False
20,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
42,16,White,Male,41,>50K,1,1,1,False,False,True,False,False,False,False
57,9,Black,Male,48,<=50K,1,0,0,False,False,True,False,False,False,False
30,12,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
36,9,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
49,4,Black,Male,40,<=50K,1,0,0,False,False,True,False,False,False,False
33,9,White,Female,35,<=50K,0,0,1,False,False,True,False,False,False,False
23,6,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
46,14,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
18,10,Asian-Pac-Islander,Female,22,<=50K,0,0,2,False,False,False,False,True,False,False
40,9,White,Male,55,>50K,1,1,1,False,False,True,False,False,False,False
43,9,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
34,14,White,Female,30,<=50K,0,0,1,False,False,False,False,True,False,False
47,9,White,Female,30,<=50K,0,0,1,False,False,False,False,False,False,True
44,11,White,Female,30,<=50K,0,0,1,False,False,False,False,False,False,True
33,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
55,13,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
19,9,White,Male,30,<=50K,1,0,1,False,False,False,False,True,False,False
28,10,Black,Male,14,<=50K,1,0,0,False,False,False,False,True,False,False
27,7,Black,Female,32,<=50K,0,0,0,False,False,True,False,False,False,False
50,4,White,Male,20,<=50K,1,0,1,False,False,True,False,False,False,False
22,7,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
40,13,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
25,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
26,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
22,13,White,Male,25,<=50K,1,0,1,False,False,False,False,True,False,False
42,10,Black,Female,40,<=50K,0,0,0,False,False,False,False,True,False,False
38,13,White,Male,40,<=50K,1,0,1,True,False,False,False,False,False,False
55,7,White,Male,30,<=50K,1,0,1,False,False,True,False,False,False,False
32,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
22,9,White,Male,45,<=50K,1,0,1,False,False,True,False,False,False,False
29,13,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
46,14,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
31,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
58,16,White,Male,16,>50K,1,1,1,False,False,True,False,False,False,False
42,9,White,Male,45,<=50K,1,0,1,False,False,True,False,False,False,False
18,9,White,Male,25,<=50K,1,0,1,False,False,False,False,True,False,False
58,9,White,Male,33,<=50K,1,0,1,True,False,False,False,False,False,False
54,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
34,14,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
26,13,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
61,8,White,Male,60,<=50K,1,0,1,False,False,True,False,False,False,False
48,14,Black,Female,40,<=50K,0,0,0,False,False,False,False,False,True,False
36,10,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
24,11,White,Male,45,<=50K,1,0,1,False,False,True,False,False,False,False
40,10,White,Male,37,<=50K,1,0,1,False,False,True,False,False,False,False
33,9,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
37,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
34,14,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
56,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
28,9,White,Female,38,>50K,0,1,1,False,False,True,False,False,False,False
37,13,White,Female,55,<=50K,0,0,1,False,False,False,False,False,False,True
44,9,Black,Female,40,<=50K,0,0,0,True,False,False,False,False,False,False
64,10,White,Male,8,<=50K,1,0,1,False,False,True,False,False,False,False
54,9,White,Male,45,<=50K,1,0,1,True,False,False,False,False,False,False
23,9,White,Male,50,<=50K,1,0,1,False,False,False,False,True,False,False
34,13,Black,Male,40,<=50K,1,0,0,False,False,False,True,False,False,False
22,9,White,Female,45,<=50K,0,0,1,False,False,False,False,True,False,False
33,13,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
39,13,White,Male,50,>50K,1,1,1,False,False,False,False,False,True,False
47,10,Black,Female,37,<=50K,0,0,0,True,False,False,False,False,False,False
79,4,White,Male,40,<=50K,1,0,1,False,False,False,False,False,False,True
26,9,Black,Female,55,<=50K,0,0,0,False,False,False,False,True,False,False
31,10,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
44,10,White,Male,45,<=50K,1,0,1,False,False,False,False,True,False,False
42,15,White,Female,50,>50K,0,1,1,False,False,True,False,False,False,False
19,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
27,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
51,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
28,13,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
57,13,White,Male,45,<=50K,1,0,1,True,False,False,False,False,False,False
45,13,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
50,11,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
34,13,White,Male,54,<=50K,1,0,1,False,False,True,False,False,False,False
45,4,Black,Male,40,<=50K,1,0,0,False,False,True,False,False,False,False
73,9,White,Male,20,<=50K,1,0,1,False,False,True,False,False,False,False
34,13,White,Female,50,>50K,0,1,1,False,False,True,False,False,False,False
31,10,White,Male,55,>50K,1,1,1,False,False,True,False,False,False,False
19,7,White,Male,12,<=50K,1,0,1,False,False,False,False,True,False,False
25,10,White,Female,50,<=50K,0,0,1,False,False,False,False,True,False,False
38,11,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
39,13,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
23,13,Black,Female,32,<=50K,0,0,0,False,False,False,False,True,False,False
49,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
33,9,White,Male,32,<=50K,1,0,1,False,False,False,False,True,False,False
21,3,White,Male,38,<=50K,1,0,1,False,False,False,False,True,False,False
31,11,White,Male,40,<=50K,1,0,1,False,False,False,False,False,True,False
23,13,White,Female,45,<=50K,0,0,1,False,False,False,False,True,False,False
34,13,Asian-Pac-Islander,Male,40,<=50K,1,0,2,False,False,True,False,False,False,False
25,9,Asian-Pac-Islander,Female,40,<=50K,0,0,2,False,False,False,False,True,False,False
39,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
52,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
63,5,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
41,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
46,13,White,Male,38,>50K,1,1,1,False,False,True,False,False,False,False
53,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
25,5,White,Female,40,<=50K,0,0,1,False,False,False,False,False,True,False
77,10,White,Male,35,<=50K,1,0,1,False,False,True,False,False,False,False
18,8,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
38,15,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
55,14,Asian-Pac-Islander,Female,50,<=50K,0,0,2,False,False,False,False,True,False,False
34,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
80,9,White,Male,30,<=50K,1,0,1,False,False,True,False,False,False,False
34,11,White,Female,60,<=50K,0,0,1,True,False,False,False,False,False,False
52,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
42,9,Black,Female,28,<=50K,0,0,0,False,False,False,False,True,False,False
26,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
31,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
25,9,White,Female,35,<=50K,0,0,1,False,False,False,False,True,False,False
55,9,White,Male,60,<=50K,1,0,1,False,False,True,False,False,False,False
19,10,White,Female,12,<=50K,0,0,1,False,False,False,False,True,False,False
62,10,White,Male,32,<=50K,1,0,1,False,False,True,False,False,False,False
22,10,White,Female,20,<=50K,0,0,1,False,False,False,False,True,False,False
39,9,White,Female,50,<=50K,0,0,1,False,False,True,False,False,False,False
35,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
28,9,White,Female,40,<=50K,0,0,1,False,False,True,False,False,False,False
47,9,White,Male,70,>50K,1,1,1,False,False,True,False,False,False,False
44,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
21,10,White,Male,15,<=50K,1,0,1,False,False,False,False,True,False,False
35,11,White,Male,50,<=50K,1,0,1,False,False,False,False,True,False,False
24,13,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
42,13,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
28,13,White,Male,50,<=50K,1,0,1,False,False,False,False,True,False,False
21,10,White,Male,35,<=50K,1,0,1,False,False,False,False,True,False,False
62,10,Black,Male,40,<=50K,1,0,0,True,False,False,False,False,False,False
39,9,Black,Female,40,<=50K,0,0,0,False,False,False,False,True,False,False
30,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
72,15,White,Male,20,<=50K,1,0,1,False,False,False,False,True,False,False
50,10,White,Female,50,<=50K,0,0,1,False,False,True,False,False,False,False
28,14,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
29,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
27,14,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
29,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
61,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
29,6,White,Male,25,<=50K,1,0,1,False,False,True,False,False,False,False
21,10,White,Female,30,<=50K,0,0,1,False,False,False,False,True,False,False
31,7,White,Female,20,<=50K,0,0,1,False,False,True,False,False,False,False
25,9,White,Male,75,<=50K,1,0,1,False,False,True,False,False,False,False
58,6,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
64,10,White,Female,40,>50K,0,1,1,False,False,True,False,False,False,False
46,14,White,Male,38,<=50K,1,0,1,False,False,False,False,True,False,False
53,9,White,Male,35,>50K,1,1,1,False,False,True,False,False,False,False
19,9,Amer-Indian-Eskimo,Female,35,<=50K,0,0,3,False,False,False,False,True,False,False
42,9,Black,Male,52,<=50K,1,0,0,True,False,False,False,False,False,False
18,7,White,Male,24,<=50K,1,0,1,False,False,False,False,True,False,False
58,13,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
20,10,Black,Male,60,<=50K,1,0,0,False,False,False,False,True,False,False
35,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
32,9,White,Male,38,>50K,1,1,1,False,False,True,False,False,False,False
23,9,White,Female,25,<=50K,0,0,1,False,False,False,False,True,False,False
31,10,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
33,13,Black,Male,55,<=50K,1,0,0,False,False,True,False,False,False,False
41,10,White,Female,48,<=50K,0,0,1,False,False,False,False,True,False,False
22,9,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
46,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
61,10,Black,Male,40,<=50K,1,0,0,False,False,True,False,False,False,False
30,9,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
42,9,White,Male,55,>50K,1,1,1,False,False,True,False,False,False,False
63,6,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
26,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
42,6,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
23,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
25,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
30,5,White,Male,32,>50K,1,1,1,False,False,True,False,False,False,False
23,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
34,11,White,Male,60,>50K,1,1,1,False,False,False,False,True,False,False
30,9,White,Male,48,<=50K,1,0,1,False,False,True,False,False,False,False
39,10,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
30,7,White,Male,38,<=50K,1,0,1,False,False,False,False,True,False,False
38,10,White,Female,38,<=50K,0,0,1,True,False,False,False,False,False,False
20,10,White,Male,16,<=50K,1,0,1,False,False,False,False,True,False,False
37,13,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
33,9,White,Female,40,<=50K,0,0,1,False,False,True,False,False,False,False
24,13,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
42,13,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
51,9,Asian-Pac-Islander,Male,84,<=50K,1,0,2,False,False,True,False,False,False,False
56,12,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
22,10,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
52,10,White,Male,60,<=50K,1,0,1,False,False,True,False,False,False,False
44,13,White,Female,45,>50K,0,1,1,True,False,False,False,False,False,False
34,9,White,Female,35,<=50K,0,0,1,False,False,True,False,False,False,False
51,10,White,Male,42,>50K,1,1,1,True,False,False,False,False,False,False
20,10,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
19,10,White,Female,25,<=50K,0,0,1,False,False,False,False,True,False,False
37,13,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
68,9,Black,Male,40,>50K,1,1,0,False,False,True,False,False,False,False
22,10,White,Male,40,<=50K,1,0,1,True,False,False,False,False,False,False
56,13,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
37,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
52,2,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
26,9,White,Male,40,<=50K,1,0,1,False,False,False,False,False,True,False
33,14,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
45,14,White,Female,42,<=50K,0,0,1,True,False,False,False,False,False,False
18,7,White,Male,15,<=50K,1,0,1,False,False,False,False,True,False,False
43,10,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
64,16,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
18,9,White,Male,20,<=50K,1,0,1,False,False,False,False,True,False,False
20,10,White,Male,45,<=50K,1,0,1,False,False,False,False,True,False,False
57,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
41,9,White,Female,42,<=50K,0,0,1,True,False,False,False,False,False,False
34,14,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
19,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
44,5,White,Female,55,<=50K,0,0,1,True,False,False,False,False,False,False
56,6,White,Female,40,<=50K,0,0,1,False,False,False,False,False,False,True
36,9,White,Male,80,<=50K,1,0,1,False,False,True,False,False,False,False
48,13,White,Female,48,<=50K,0,0,1,True,False,False,False,False,False,False
29,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
33,13,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
31,3,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
39,14,White,Male,45,>50K,1,1,1,False,False,True,False,False,False,False
66,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
27,13,White,Female,50,>50K,0,1,1,False,False,False,False,True,False,False
39,9,Black,Female,40,>50K,0,1,0,True,False,False,False,False,False,False
59,4,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
26,9,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
31,11,White,Male,40,<=50K,1,0,1,True,False,False,False,False,False,False
45,9,White,Female,40,<=50K,0,0,1,False,False,False,False,False,False,True
23,9,White,Male,30,<=50K,1,0,1,False,False,False,False,True,False,False
36,9,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
34,10,White,Female,12,>50K,0,1,1,False,False,True,False,False,False,False
32,9,White,Male,84,>50K,1,1,1,False,False,True,False,False,False,False
37,13,Black,Male,50,>50K,1,1,0,False,False,True,False,False,False,False
33,13,White,Male,45,<=50K,1,0,1,False,False,False,False,True,False,False
50,15,White,Male,80,>50K,1,1,1,False,False,True,False,False,False,False
32,12,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
35,13,Black,Female,40,<=50K,0,0,0,False,False,False,False,True,False,False
37,7,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
44,10,White,Male,60,<=50K,1,0,1,True,False,False,False,False,False,False
57,10,White,Male,25,<=50K,1,0,1,True,False,False,False,False,False,False
29,10,White,Female,40,<=50K,0,0,1,False,False,True,False,False,False,False
55,9,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
43,15,White,Male,25,>50K,1,1,1,False,False,True,False,False,False,False
43,10,White,Male,70,<=50K,1,0,1,False,False,True,False,False,False,False
45,10,White,Male,60,>50K,1,1,1,False,False,True,False,False,False,False
33,14,White,Female,8,<=50K,0,0,1,False,False,True,False,False,False,False
26,6,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
23,10,White,Male,68,<=50K,1,0,1,False,False,True,False,False,False,False
41,4,White,Male,40,<=50K,1,0,1,False,False,False,False,False,True,False
24,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
47,13,White,Male,44,<=50K,1,0,1,False,False,True,False,False,False,False
34,9,White,Male,45,<=50K,1,0,1,False,False,False,False,True,False,False
40,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
28,13,Asian-Pac-Islander,Female,40,<=50K,0,0,2,False,False,True,False,False,False,False
24,9,Asian-Pac-Islander,Female,40,<=50K,0,0,2,False,False,False,False,True,False,False
73,10,White,Male,10,<=50K,1,0,1,False,False,True,False,False,False,False
23,9,White,Male,15,<=50K,1,0,1,False,False,False,False,True,False,False
43,9,Black,Male,40,>50K,1,1,0,False,False,True,False,False,False,False
26,13,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
